id,name,acronym,graph_id,rgb_triplet,structure_id_path,structure_set_ids
943,"Primary motor area, Layer 2/3,MOp2/3","['Layer 2/3', 'MOp2/3']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 985, 943]","[667481441, 184527634, 12, 691663206]"
648,"Primary motor area, Layer 5,MOp5","['Layer 5', 'MOp5']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 985, 648]","[184527634, 12, 667481446, 691663206]"
844,"Primary motor area, Layer 6a,MOp6a","['Layer 6a', 'MOp6a']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 985, 844]","[667481449, 184527634, 12, 691663206]"
882,"Primary motor area, Layer 6b,MOp6b","['Layer 6b', 'MOp6b']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 985, 882]","[667481450, 184527634, 12, 691663206]"
993,"Secondary motor area,MOs",['MOs'],1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 993]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]"
656,"Secondary motor area, layer 1,MOs1","['layer 1', 'MOs1']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 993, 656]","[667481440, 184527634, 12, 691663206]"
962,"Secondary motor area, layer 2/3,MOs2/3","['layer 2/3', 'MOs2/3']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 993, 962]","[667481441, 184527634, 12, 691663206]"
767,"Secondary motor area, layer 5,MOs5","['layer 5', 'MOs5']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 993, 767]","[184527634, 12, 667481446, 691663206]"
1021,"Secondary motor area, layer 6a,MOs6a","['layer 6a', 'MOs6a']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 993, 1021]","[667481449, 184527634, 12, 691663206]"
1085,"Secondary motor area, layer 6b,MOs6b","['layer 6b', 'MOs6b']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 993, 1085]","[184527634, 12, 667481450, 691663206]"
453,"Somatosensory areas,SS",['SS'],1,"[24, 128, 100]","[997, 8, 567, 688, 695, 315, 453]","[3, 112905828, 691663206, 10, 12, 184527634, 112905813, 114512891, 114512892]"
12993,"Somatosensory areas, layer 1,SS1","['layer 1', 'SS1']",1,"[24, 128, 100]","[997, 8, 567, 688, 695, 315, 453, 12993]",[]
12994,"Somatosensory areas, layer 2/3,SS2/3","['layer 2/3', 'SS2/3']",1,"[24, 128, 100]","[997, 8, 567, 688, 695, 315, 453, 12994]",[]
12995,"Somatosensory areas, layer 4,SS4","['layer 4', 'SS4']",1,"[24, 128, 100]","[997, 8, 567, 688, 695, 315, 453, 12995]",[]
12996,"Somatosensory areas, layer 5,SS5","['layer 5', 'SS5']",1,"[24, 128, 100]","[997, 8, 567, 688, 695, 315, 453, 12996]",[]
12997,"Somatosensory areas, layer 6a,SS6a","['layer 6a', 'SS6a']",1,"[24, 128, 100]","[997, 8, 567, 688, 695, 315, 453, 12997]",[]
